National.region	Estimated.population.size	Jun09	Dec09	Jun10	Dec10	Jun11	Dec11	Jun12	Dec12	Jun13	Dec13	Jun14
East Midlands Region	56803	932.509740492835	1371.65337002286	2240.02300839152	2248.28711226612	2185.66699474649	2534.46404516366	2284.31668291828	2288.58000799184	2616.09585386605	2948.68962873664	2881.38895278314
East of England Region	68087	1475.36874790517	2007.41072778528	2116.32841403103	2408.97566029232	2169.52110957305	2905.24006441029	2848.74615426783	3242.86569093779	3640.30723429045	3370.77879924006	3604.30663289064
London Region	1233	13625.304136253	14517.4371451744	14679.6431467964	14436.3341443633	14111.9221411192	16545.0121654501	18329.2781832928	42903.4874290349	79967.5587996756	91159.7729115977	80454.1768045418
North East Region	41070	3050.04297657196	3310.86514251397	3074.67781629815	2348.1211497049	1598.15757219062	1386.76683628047	946.218115524822	1280.65952211163	1381.64478380643	1690.07777832615	3162.95681952537
North West Region	47470	1413.66400263134	4255.80697666187	8538.34609882747	12827.1440207156	15365.9456506988	14072.4675780253	15497.0053001791	15794.8480637736	14880.9537371855	15812.6961493709	16003.8155587436
South East Region	30207	1581.0888687415	2256.08647982463	3821.62417180263	4553.47403393995	3944.40491111308	4120.76801651176	4114.68034659806	4383.70218239546	5566.58838593955	9822.90021742864	10868.5344700978
South West Region	56586	1398.74318694358	2561.35454600024	3054.61785651787	3205.08665074002	4366.08941835991	5571.89897255955	4758.05748550652	5696.46915214739	5852.27814480621	6066.95178210084	4941.92291782131
Wales	58909	752.678242073713	1199.0377296246	1384.38328718434	1476.47216902354	1487.23857048853	1638.44170499855	1087.41750104469	1045.30089847076	1180.9966730086	1324.9409431106	1177.6031318198
West Midlands Region	39074	975.089012099088	3040.78088932962	12264.445498163	16631.0041581058	16137.2186677829	17839.1537491987	18751.8965601943	17814.5993124606	19973.1020442284	17490.1292347156	16397.6717406292
Yorkshire and the Humber Region	35174	2743.09883211958	2789.88364858505	7467.49089568348	7415.1447297725	11472.7414444944	9358.21213524154	6999.20305888825	7132.95144250509	6459.10160568075	6765.69868718468	6316.43355388424
