Force                    Jun09     Dec09     Jun10     Dec10     Jun11     Dec11     Jun12     Dec12     Jun13     Dec13     Jun14
Metropolitan             168       179       181       178       174       204       226       529       986       1124      992
Greater Manchester       21        101       209       366       428       372       391       390       385       431       476
West Midlands            6         62        366       519       496       517       544       511       524       471       452
Staffordshire            19        13        91        95        136       189       188       196       363       263       199
Humberside               53        73        244       242       297       298       221       271       222       240       197
Northumbria              198       207       174       132       56        53        31        52        58        74        194
Thames Valley            18        15        27        38        26        22        34        31        25        183       165
West Yorkshire           91        81        174       169       338       234       179       162       146       154       155
Sussex                   21        26        18        19        13        19        9         21        62        102       128
Devon and Cornwall       18        35        69        97        147       142       119       128       148       151       123
Kent                     11        20        82        114       111       109       112       106       140       89        121
Avon and Somerset        57        107       79        65        83        164       123       161       131       114       120
Hampshire                23        47        52        41        32        32        29        33        35        65        118
West Mercia              47        95        78        76        53        74        80        85        83        96        117
Lincolnshire             0         5         74        87        64        93        102       101       120       139       113
Suffolk                  8         27        45        107       77        59        66        35        36        48        86
Lancashire               43        42        112       116       129       124       188       227       204       163       84
Norfolk                  10        40        48        67        65        51        36        53        91        89        76
Gwent                    40        82        65        81        80        63        55        48        47        69        76
Leicestershire           27        52        61        42        62        61        54        44        38        56        73
Cheshire                 6         13        14        18        38        52        74        82        61        62        67
Merseyside               5         46        65        59        88        107       84        66        53        62        65
Cumbria                  17        28        41        47        60        37        50        34        25        56        64
Hertfordshire            39        48        46        43        25        61        46        62        41        39        61
Wiltshire                11        9         63        29        41        30        36        62        75        152       60
Surrey                   17        21        42        52        51        69        59        74        76        102       55
Essex                    24        20        30        2         3         31        43        57        76        76        53
Warwickshire             4         3         35        57        52        103       122       90        87        73        51
North Yorkshire          5         4         45        80        54        105       53        53        75        82        49
Northamptonshire         24        25        33        31        35        34        29        37        33        50        49
Cambridgeshire           38        42        19        43        54        71        42        55        61        32        49
Bedfordshire             26        37        28        28        43        36        71        62        49        36        49
South Yorkshire          13        20        71        56        54        39        39        43        40        33        47
Nottinghamshire          22        31        43        44        34        53        35        44        63        56        47
Derbyshire               24        28        37        48        46        41        40        36        43        40        45
Gloucestershire          9         9         8         10        16        23        59        58        45        46        44
Durham                   29        45        53        44        49        38        40        43        41        54        42
South Wales              24        26        31        37        51        67        34        49        51        44        36
Dorset                   6         17        18        35        23        25        22        22        61        48        34
North Wales              18        46        74        59        36        43        36        7         26        43        27
Cleveland                9         15        48        35        89        71        46        49        54        54        25
Dyfed-Powys              17        14        19        24        23        22        16        17        14        12        17
City of London           1         5         1         4         4         3         8         4         5         8         6
